config,sensitivity,tp,n_seizures,fp_per_day,delta_sens_vs_full
full(3-view),0.75,57,76,39.77,0.0
drop_recon,0.6053,46,76,40.2,-0.1447
drop_temporal,0.6184,47,76,33.21,-0.1316
drop_gamma,0.6447,49,76,38.47,-0.1053
recon_only,0.5789,44,76,28.55,-0.1711
temporal_only,0.3158,24,76,49.34,-0.4342
gamma_only,0.5658,43,76,33.12,-0.1842
