subject,ch_index,channel,region,hemisphere,mean_abs_z,sd_abs_z
chb16,4,FP1-F3,L-cent,L,2.8189,1.6906
chb16,5,F3-C3,L-cent,L,3.4536,1.2651
chb16,6,C3-P3,L-cent,L,2.2423,2.0209
chb16,7,P3-O1,L-cent,L,2.9562,1.124
chb16,8,FP2-F4,R-cent,R,1.5802,1.0889
chb16,9,F4-C4,R-cent,R,2.227,1.0446
chb16,10,C4-P4,R-cent,R,1.4667,1.1322
chb16,11,P4-O2,R-cent,R,4.2633,1.8187
chb16,12,FP2-F8,R-temp,R,1.1013,0.477
chb16,13,F8-T8,R-temp,R,2.2289,1.1494
chb16,14,T8-P8,R-temp,R,0.82,0.6255
chb16,15,P8-O2,R-temp,R,3.7642,2.0919
chb16,16,FZ-CZ,Mid,M,3.3459,1.1116
chb16,17,CZ-PZ,Mid,M,1.9343,1.2582
chb17,0,FP1-F7,L-temp,L,0.3943,0.2144
chb17,1,F7-T7,L-temp,L,0.5036,0.4606
chb17,2,T7-P7,L-temp,L,1.2975,0.3595
chb17,3,P7-O1,L-temp,L,0.546,0.2848
chb17,4,FP1-F3,L-cent,L,0.3713,0.1915
chb17,5,F3-C3,L-cent,L,0.2117,0.0427
chb17,6,C3-P3,L-cent,L,0.1672,0.0977
chb17,7,P3-O1,L-cent,L,0.444,0.2652
chb17,8,FP2-F4,R-cent,R,0.6774,0.1972
chb17,9,F4-C4,R-cent,R,0.3327,0.1633
chb17,10,C4-P4,R-cent,R,0.9715,0.5093
chb17,11,P4-O2,R-cent,R,1.0265,0.5419
chb17,12,FP2-F8,R-temp,R,0.6867,0.2951
chb17,13,F8-T8,R-temp,R,0.4871,0.0788
chb17,14,T8-P8,R-temp,R,0.7223,0.4728
chb17,15,P8-O2,R-temp,R,0.3401,0.049
chb17,16,FZ-CZ,Mid,M,0.6044,0.0394
chb17,17,CZ-PZ,Mid,M,1.0028,0.1832
chb18,0,FP1-F7,L-temp,L,1.215,0.4621
chb18,1,F7-T7,L-temp,L,1.0921,0.6437
chb18,2,T7-P7,L-temp,L,0.6594,0.3308
chb18,3,P7-O1,L-temp,L,2.0165,0.547
chb18,4,FP1-F3,L-cent,L,1.8691,1.1475
chb18,5,F3-C3,L-cent,L,0.8127,0.856
chb18,6,C3-P3,L-cent,L,2.4463,1.3227
chb18,7,P3-O1,L-cent,L,1.8928,0.7498
chb18,8,FP2-F4,R-cent,R,1.6096,0.7652
chb18,9,F4-C4,R-cent,R,1.1399,0.566
chb18,10,C4-P4,R-cent,R,1.5444,0.8406
chb18,11,P4-O2,R-cent,R,3.0526,1.14
chb18,12,FP2-F8,R-temp,R,0.8935,0.6316
chb18,13,F8-T8,R-temp,R,2.0386,0.7599
chb18,14,T8-P8,R-temp,R,1.3406,0.6413
chb18,15,P8-O2,R-temp,R,3.7764,1.1958
chb18,16,FZ-CZ,Mid,M,0.6322,0.1835
chb18,17,CZ-PZ,Mid,M,2.5899,1.1334
