operating_point,mag_pen,n_subjects,n_seizures,TP,FN,FP,interictal_hours,sensitivity,sensitivity_CI,precision,precision_CI,f1,fp_per_day,fp_per_day_CI
balanced - shared (held-out),mag70/pen0.5,8,76,48,28,447,278.2,0.6316,"[0.519, 0.731]",0.097,"[0.074, 0.126]",0.1681,38.56,"[35.07, 42.31]"
balanced - calibrated (per-subject FP-budget),per-subject,8,76,46,30,452,278.2,0.6053,"[0.493, 0.708]",0.0924,"[0.070, 0.121]",0.1603,38.99,"[35.48, 42.76]"
high-sensitivity - shared (held-out),mag55/pen0.3,8,76,59,17,843,278.2,0.7763,"[0.671, 0.855]",0.0654,"[0.051, 0.083]",0.1207,72.72,"[67.89, 77.80]"
high-sensitivity - calibrated (per-subject FP-budget),per-subject,8,76,59,17,843,278.2,0.7763,"[0.671, 0.855]",0.0654,"[0.051, 0.083]",0.1207,72.72,"[67.89, 77.80]"
