epoch,total,r1,r2_recon,rx,gate_R2,r2_loss_share,lr,sec
77,0.068902,0.015871,0.052365,0.006661,1.01584,0.75999,0.000669,72.03
78,0.068837,0.015898,0.052287,0.006513,1.01593,0.75958,0.000662,71.28
79,0.068794,0.015912,0.052241,0.00641,1.01599,0.75938,0.000655,71.58
80,0.068759,0.01592,0.052201,0.006381,1.01596,0.75919,0.000647,71.16
81,0.068709,0.015919,0.052159,0.006313,1.01613,0.75912,0.000639,71.16
82,0.068659,0.015917,0.052116,0.006259,1.01627,0.75905,0.000632,70.81
83,0.068644,0.015915,0.0521,0.006289,1.01609,0.75899,0.000624,71.16
84,0.068606,0.015911,0.052067,0.006275,1.01605,0.75893,0.000617,71.17
85,0.068571,0.01591,0.052038,0.006233,1.01653,0.75889,0.000609,70.85
86,0.068545,0.015907,0.052014,0.006234,1.01602,0.75883,0.000601,71.55
87,0.068526,0.015902,0.052,0.006236,1.01617,0.75884,0.000594,73.08
88,0.068493,0.015898,0.051973,0.006218,1.01631,0.75881,0.000586,72.21
89,0.068477,0.015895,0.051959,0.00623,1.01659,0.75878,0.000578,73.91
90,0.06846,0.015891,0.051948,0.006209,1.01634,0.75881,0.00057,75.1
91,0.068433,0.015887,0.051924,0.006214,1.01652,0.75876,0.000563,74.27
92,0.068424,0.015884,0.051919,0.006202,1.01657,0.75879,0.000555,73.75
93,0.068402,0.015881,0.051904,0.006179,1.01647,0.7588,0.000547,72.82
94,0.068388,0.015878,0.051892,0.006186,1.01641,0.75879,0.000539,72.79
95,0.068359,0.015873,0.051871,0.006143,1.01663,0.75881,0.000531,72.65
96,0.068344,0.015869,0.051858,0.006174,1.01687,0.75878,0.000524,73.64
97,0.068339,0.015868,0.051854,0.006169,1.01657,0.75878,0.000516,72.72
98,0.068319,0.015864,0.05184,0.006153,1.01665,0.75879,0.000508,73.38
99,0.068302,0.01586,0.051828,0.006138,1.01674,0.75881,0.0005,73.31
100,0.068286,0.015857,0.051814,0.006155,1.01711,0.75878,0.000492,73.49
101,0.068273,0.015853,0.051804,0.006153,1.01681,0.75878,0.000484,73.45
102,0.068268,0.015852,0.0518,0.006162,1.01678,0.75878,0.000476,73.03
103,0.068249,0.015848,0.051787,0.006139,1.01675,0.75879,0.000469,73.19
104,0.068224,0.015845,0.051768,0.006105,1.01714,0.7588,0.000461,73.12
105,0.068221,0.015842,0.051768,0.006113,1.01717,0.75883,0.000453,73.48
106,0.068205,0.015837,0.051757,0.006106,1.01711,0.75885,0.000445,73.39
107,0.068188,0.015837,0.051741,0.006101,1.01703,0.7588,0.000437,72.95
108,0.068184,0.015833,0.051738,0.006131,1.01703,0.7588,0.00043,73.45
109,0.068168,0.01583,0.051728,0.0061,1.01702,0.75883,0.000422,73.24
110,0.068152,0.015826,0.051719,0.006071,1.01728,0.75887,0.000414,74.07
111,0.068135,0.015825,0.051704,0.006057,1.01745,0.75885,0.000406,73.67
112,0.068128,0.015822,0.051701,0.006054,1.01741,0.75888,0.000399,73.82
113,0.068119,0.01582,0.051694,0.006059,1.01754,0.75887,0.000391,73.4
114,0.068106,0.015817,0.051684,0.006049,1.0177,0.75887,0.000383,73.64
115,0.068099,0.015816,0.05168,0.006032,1.01765,0.75889,0.000376,73.11
116,0.068078,0.015812,0.051663,0.006027,1.01777,0.75888,0.000368,72.99
117,0.068071,0.015809,0.05166,0.00602,1.01771,0.75891,0.000361,73.55
118,0.068056,0.015807,0.051648,0.006013,1.01793,0.7589,0.000353,73.63
119,0.068043,0.015805,0.051641,0.005976,1.01797,0.75894,0.000345,73.15
120,0.068033,0.015802,0.051632,0.005984,1.01794,0.75893,0.000338,73.03
121,0.068025,0.015799,0.051628,0.005974,1.01812,0.75896,0.000331,72.86
122,0.068015,0.015799,0.05162,0.00596,1.01822,0.75896,0.000323,74.04
123,0.068003,0.015796,0.05161,0.005967,1.01815,0.75894,0.000316,73.37
124,0.067987,0.015794,0.051601,0.005923,1.01819,0.75898,0.000309,73.34
125,0.067974,0.015791,0.051591,0.005921,1.01846,0.75898,0.000301,73.17
126,0.067967,0.015788,0.051588,0.005909,1.01851,0.75901,0.000294,73.72
127,0.067957,0.015787,0.051579,0.005907,1.01862,0.759,0.000287,72.8
128,0.067948,0.015786,0.051571,0.005906,1.01858,0.75899,0.00028,72.36
129,0.06794,0.015784,0.051567,0.005887,1.01861,0.75901,0.000273,72.91
130,0.067921,0.015781,0.051555,0.005859,1.01914,0.75903,0.000266,72.66
131,0.067919,0.015779,0.051554,0.005862,1.01883,0.75904,0.000259,73.01
132,0.067904,0.015777,0.051543,0.005847,1.01907,0.75905,0.000252,72.78
133,0.067893,0.015775,0.051534,0.00584,1.01924,0.75904,0.000245,73.18
134,0.067885,0.015775,0.051528,0.005828,1.01909,0.75904,0.000239,72.91
135,0.067876,0.015772,0.051521,0.005831,1.01926,0.75904,0.000232,72.57
136,0.067869,0.015771,0.051518,0.005798,1.01945,0.75909,0.000225,75.15
137,0.067858,0.015769,0.051509,0.005802,1.01953,0.75907,0.000219,73.55
138,0.067846,0.015767,0.051502,0.005778,1.0198,0.75909,0.000212,76.89
139,0.067841,0.015765,0.051497,0.005785,1.01955,0.75909,0.000206,72.74
140,0.067835,0.015764,0.051493,0.005783,1.01975,0.75909,0.0002,72.03
141,0.067823,0.015763,0.051484,0.005764,1.01978,0.75909,0.000194,73.46
142,0.06781,0.015762,0.051475,0.005735,1.02043,0.7591,0.000187,72.83
143,0.067805,0.01576,0.051471,0.005741,1.02029,0.7591,0.000181,72.73
144,0.067793,0.015759,0.051462,0.005714,1.02041,0.75911,0.000175,72.53
145,0.067788,0.015757,0.05146,0.00571,1.02029,0.75913,0.000169,72.35
146,0.067778,0.015755,0.051453,0.005703,1.02046,0.75913,0.000163,72.11
147,0.067771,0.015754,0.051447,0.005693,1.02049,0.75914,0.000158,72.36
148,0.067761,0.015753,0.05144,0.005677,1.02102,0.75914,0.000152,72.87
149,0.067757,0.015752,0.051438,0.005673,1.02097,0.75915,0.000146,72.54
150,0.067746,0.015752,0.051428,0.005661,1.02119,0.75914,0.000141,74.63
151,0.067737,0.01575,0.051422,0.00565,1.02157,0.75914,0.000136,76.11
152,0.06773,0.015749,0.051417,0.005646,1.02138,0.75914,0.00013,76.11
153,0.067722,0.015747,0.051412,0.005628,1.02172,0.75916,0.000125,75.09
154,0.067714,0.015746,0.051406,0.005627,1.0217,0.75915,0.00012,72.18
155,0.067708,0.015746,0.051402,0.005603,1.02194,0.75917,0.000115,71.37
156,0.0677,0.015744,0.051395,0.005601,1.02213,0.75916,0.00011,72.13
157,0.067692,0.015744,0.051389,0.005592,1.02274,0.75915,0.000105,73.41
158,0.067686,0.015742,0.051386,0.00558,1.02247,0.75918,0.0001,72.26
159,0.067681,0.015742,0.051382,0.005574,1.02275,0.75918,9.5e-05,71.22
160,0.067671,0.01574,0.051375,0.005559,1.02313,0.75919,9.1e-05,71.54
161,0.067667,0.01574,0.051372,0.005553,1.02327,0.75918,8.6e-05,71.79
162,0.067658,0.015739,0.051365,0.005551,1.02337,0.75918,8.2e-05,73.22
163,0.067653,0.015738,0.051361,0.005539,1.02342,0.75918,7.8e-05,74.34
164,0.067646,0.015736,0.051357,0.005528,1.02376,0.7592,7.4e-05,73.23
165,0.06764,0.015737,0.051351,0.005525,1.02435,0.75918,7e-05,72.81
166,0.067635,0.015735,0.051348,0.005522,1.02424,0.75919,6.6e-05,74.71
167,0.067628,0.015735,0.051343,0.005502,1.02458,0.75919,6.2e-05,75.76
168,0.067622,0.015735,0.051338,0.005498,1.02465,0.75918,5.8e-05,74.92
169,0.067618,0.015734,0.051334,0.005495,1.02487,0.75919,5.4e-05,74.02
170,0.067612,0.015733,0.051331,0.005483,1.02524,0.7592,5.1e-05,73.4
171,0.067607,0.015732,0.051327,0.005483,1.0254,0.7592,4.8e-05,73.15
172,0.067601,0.015732,0.051323,0.005468,1.0258,0.7592,4.4e-05,74.29
173,0.067596,0.015731,0.051318,0.005462,1.02613,0.75919,4.1e-05,73.97
174,0.067592,0.01573,0.051316,0.005455,1.02603,0.7592,3.8e-05,71.84
175,0.067586,0.01573,0.051311,0.005454,1.02685,0.75919,3.5e-05,73.33
176,0.067583,0.01573,0.051309,0.005444,1.0267,0.75919,3.2e-05,74.97
177,0.067579,0.015729,0.051305,0.005441,1.02683,0.75919,3e-05,73.41
178,0.067574,0.015729,0.051302,0.005435,1.02715,0.75919,2.7e-05,71.92
179,0.06757,0.015728,0.051299,0.005431,1.02729,0.7592,2.4e-05,71.56
180,0.067567,0.015728,0.051296,0.005421,1.02782,0.75919,2.2e-05,70.52
181,0.067563,0.015728,0.051294,0.005418,1.02802,0.7592,2e-05,70.76
182,0.067559,0.015728,0.05129,0.005416,1.02835,0.75918,1.8e-05,70.74
183,0.067556,0.015727,0.051288,0.00541,1.02885,0.75919,1.6e-05,70.89
184,0.067553,0.015726,0.051286,0.005406,1.02872,0.7592,1.4e-05,71.21
185,0.067549,0.015727,0.051283,0.005399,1.02928,0.75919,1.2e-05,71.51
186,0.067547,0.015727,0.05128,0.005399,1.02914,0.75918,1e-05,70.78
187,0.067544,0.015726,0.051279,0.005394,1.0296,0.75919,9e-06,70.32
188,0.067541,0.015726,0.051276,0.005391,1.03002,0.75918,7e-06,71.42
189,0.067539,0.015725,0.051275,0.005386,1.03007,0.75919,6e-06,71.53
190,0.067537,0.015726,0.051272,0.005385,1.03051,0.75918,5e-06,71.13
191,0.067535,0.015725,0.051271,0.005382,1.03082,0.75919,4e-06,71.88
192,0.067534,0.015725,0.05127,0.005382,1.0305,0.75918,3e-06,73.11
193,0.067531,0.015726,0.051268,0.00538,1.03092,0.75917,2e-06,76.32
194,0.067531,0.015725,0.051268,0.005378,1.03103,0.75918,2e-06,74.28
195,0.06753,0.015725,0.051267,0.005377,1.03138,0.75917,1e-06,73.82
196,0.067528,0.015725,0.051266,0.005377,1.03134,0.75918,1e-06,72.89
197,0.067527,0.015725,0.051265,0.005374,1.03139,0.75917,0.0,72.84
198,0.067527,0.015725,0.051265,0.005374,1.03138,0.75917,0.0,72.89
199,0.067527,0.015725,0.051265,0.005374,1.03162,0.75917,0.0,73.09
