path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
fig_auroc_auprc.png,.,fig_auroc_auprc.png,.png,481770,470.5KB,2026-06-15 16:06,,
fig_event_tradeoff.png,.,fig_event_tradeoff.png,.png,290831,284.0KB,2026-06-15 16:06,,
