path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
.gitkeep,.,.gitkeep,,0,0.0B,2026-04-04 12:16,,
build_graphs_full.log,.,build_graphs_full.log,.log,8940,8.7KB,2026-04-06 11:15,,
preprocess_full.log,.,preprocess_full.log,.log,104027,101.6KB,2026-04-06 05:53,,
preprocess_run3.log,.,preprocess_run3.log,.log,416193,406.4KB,2026-04-05 02:06,,
