path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
kaggle_gpu/thesis-cpd-final.ipynb,kaggle_gpu,thesis-cpd-final.ipynb,.ipynb,43193,42.2KB,2026-07-26 00:20,,
kaggle_gpu/thesis-threshold-final.ipynb,kaggle_gpu,thesis-threshold-final.ipynb,.ipynb,39353,38.4KB,2026-07-26 00:20,old,
