operating_point,pen,n_subjects,n_seizures,TP,FN,FP,interictal_hours,sensitivity,sensitivity_CI,sensitivity_macro,precision,precision_CI,f1,fp_per_day,fp_per_day_CI
balanced,1.0,8,76,57,19,461,278.2,0.75,"[0.642, 0.834]",0.732 +/- 0.257,0.11,"[0.086, 0.140]",0.1919,39.77,"[36.22, 43.57]"
highsens,0.5,8,76,63,13,826,278.2,0.8289,"[0.729, 0.897]",0.807 +/- 0.159,0.0709,"[0.056, 0.090]",0.1306,71.25,"[66.48, 76.28]"
