pen_mult,sensitivity,precision,f1,fp_per_day,mean_lat_s,hyp_events
0.3,0.804 +/- 0.196,0.104 +/- 0.063,0.180 +/- 0.098,50.675 +/- 16.159,0.926 +/- 8.238,154.500 +/- 49.777
0.5,0.732 +/- 0.248,0.107 +/- 0.066,0.182 +/- 0.100,43.929 +/- 15.731,6.356 +/- 11.768,116.500 +/- 38.053
1.0,0.661 +/- 0.305,0.125 +/- 0.081,0.203 +/- 0.117,31.036 +/- 13.754,8.489 +/- 12.824,74.625 +/- 26.284
2.0,0.611 +/- 0.310,0.168 +/- 0.090,0.254 +/- 0.127,18.769 +/- 7.474,5.421 +/- 15.906,44.750 +/- 16.918
5.0,0.465 +/- 0.384,0.220 +/- 0.181,0.288 +/- 0.225,8.412 +/- 3.464,25.524 +/- 65.168,23.500 +/- 12.212
10.0,0.359 +/- 0.396,0.227 +/- 0.225,0.265 +/- 0.261,5.116 +/- 2.108,21.074 +/- 30.170,14.750 +/- 8.294
