w_recon,w_latent,w_gamma,val_macro_auroc,auroc_chb10,auroc_chb11,auroc_chb22
0.25,0.15,0.60,0.919651,0.829571,0.952039,0.977342
0.25,0.20,0.55,0.925719,0.847046,0.952724,0.977387
0.25,0.25,0.50,0.930575,0.861690,0.952985,0.977049
0.25,0.30,0.45,0.934177,0.873350,0.952722,0.976460
0.25,0.35,0.40,0.936292,0.881862,0.951563,0.975451
0.25,0.40,0.35,0.936800,0.887095,0.949457,0.973847
0.25,0.45,0.30,0.935275,0.888626,0.945661,0.971539
0.25,0.50,0.25,0.931267,0.886355,0.939452,0.967995
0.25,0.55,0.20,0.923606,0.879810,0.929147,0.961862
0.25,0.60,0.15,0.910042,0.868415,0.912051,0.949659
0.25,0.65,0.10,0.884482,0.850436,0.882393,0.920617
0.25,0.70,0.05,0.837671,0.823030,0.831379,0.858603
0.25,0.75,0.00,0.766175,0.784663,0.752201,0.761661
0.30,0.00,0.70,0.892309,0.747369,0.951760,0.977797
0.30,0.05,0.65,0.900749,0.770632,0.953155,0.978461
0.30,0.10,0.60,0.908900,0.793423,0.954331,0.978947
0.30,0.15,0.55,0.916279,0.814265,0.955310,0.979263
0.30,0.20,0.50,0.922564,0.832363,0.955961,0.979367
0.30,0.25,0.45,0.927504,0.847202,0.956231,0.979079
0.30,0.30,0.40,0.930853,0.858518,0.955692,0.978350
0.30,0.35,0.35,0.932468,0.865937,0.954296,0.977171
0.30,0.40,0.30,0.931978,0.869233,0.951445,0.975257
0.30,0.45,0.25,0.928830,0.867962,0.946430,0.972098
0.30,0.50,0.20,0.922232,0.862282,0.937743,0.966670
0.30,0.55,0.15,0.909999,0.851784,0.922858,0.955355
0.30,0.60,0.10,0.886345,0.834989,0.896279,0.927765
0.30,0.65,0.05,0.841176,0.808822,0.848767,0.865938
0.30,0.70,0.00,0.769633,0.770516,0.772438,0.765946
0.35,0.00,0.65,0.887460,0.728084,0.954805,0.979492
0.35,0.05,0.60,0.895768,0.750979,0.956176,0.980148
0.35,0.10,0.55,0.903984,0.773908,0.957415,0.980630
0.35,0.15,0.50,0.911412,0.794939,0.958355,0.980942
0.35,0.20,0.45,0.917635,0.813044,0.958972,0.980890
0.35,0.25,0.40,0.922337,0.827370,0.959057,0.980586
0.35,0.30,0.35,0.925179,0.837573,0.958184,0.979779
0.35,0.35,0.30,0.925823,0.843057,0.956136,0.978277
0.35,0.40,0.25,0.923724,0.843499,0.952065,0.975609
0.35,0.45,0.20,0.918150,0.838977,0.944784,0.970688
0.35,0.50,0.15,0.907234,0.829688,0.931724,0.960290
0.35,0.55,0.10,0.885482,0.814446,0.907955,0.934046
0.35,0.60,0.05,0.841966,0.789784,0.863763,0.872352
0.35,0.65,0.00,0.770707,0.752291,0.790550,0.769278
0.40,0.00,0.60,0.881476,0.705871,0.957689,0.980868
0.40,0.05,0.55,0.889440,0.727721,0.959110,0.981489
0.40,0.10,0.50,0.897366,0.749874,0.960307,0.981916
0.40,0.15,0.45,0.904595,0.770470,0.961179,0.982137
0.40,0.20,0.40,0.910544,0.787840,0.961621,0.982170
0.40,0.25,0.35,0.914584,0.800923,0.961277,0.981552
0.40,0.30,0.30,0.916461,0.808994,0.959880,0.980510
0.40,0.35,0.25,0.915492,0.811629,0.956569,0.978277
0.40,0.40,0.20,0.911078,0.808928,0.950350,0.973957
0.40,0.45,0.15,0.901548,0.801363,0.938911,0.964370
0.40,0.50,0.10,0.881447,0.788076,0.917344,0.938921
0.40,0.55,0.05,0.839787,0.765503,0.876431,0.877428
0.40,0.60,0.00,0.769036,0.729280,0.806276,0.771553
0.45,0.00,0.55,0.874122,0.680162,0.960417,0.981788
