pen_mult,sensitivity,precision,f1,fp_per_day,mean_lat_s,hyp_events
0.3,0.935 +/- 0.111,0.042 +/- 0.026,0.079 +/- 0.048,158.894 +/- 33.772,3.554 +/- 7.794,460.500 +/- 137.684
0.5,0.923 +/- 0.143,0.046 +/- 0.029,0.086 +/- 0.052,143.168 +/- 36.426,3.307 +/- 5.587,342.500 +/- 100.941
1.0,0.867 +/- 0.205,0.056 +/- 0.035,0.104 +/- 0.061,107.900 +/- 38.228,2.046 +/- 6.308,214.000 +/- 65.939
2.0,0.792 +/- 0.314,0.074 +/- 0.046,0.132 +/- 0.076,67.998 +/- 24.056,0.381 +/- 10.183,125.000 +/- 40.171
5.0,0.529 +/- 0.369,0.086 +/- 0.079,0.144 +/- 0.120,32.856 +/- 8.495,7.214 +/- 18.124,59.750 +/- 18.979
10.0,0.455 +/- 0.365,0.115 +/- 0.087,0.176 +/- 0.125,18.707 +/- 5.508,20.482 +/- 24.411,34.750 +/- 12.233
