subject,ch_index,channel,region,hemisphere,mean_abs_z,sd_abs_z
chb16,4,FP1-F3,L-cent,L,0.4805,0.3473
chb16,5,F3-C3,L-cent,L,0.4952,0.4676
chb16,6,C3-P3,L-cent,L,0.7567,0.54
chb16,7,P3-O1,L-cent,L,0.698,0.4113
chb16,8,FP2-F4,R-cent,R,0.9086,0.5621
chb16,9,F4-C4,R-cent,R,0.4052,0.3607
chb16,10,C4-P4,R-cent,R,0.8387,0.2992
chb16,11,P4-O2,R-cent,R,0.769,0.6801
chb16,12,FP2-F8,R-temp,R,0.7477,0.408
chb16,13,F8-T8,R-temp,R,0.7213,0.4232
chb16,14,T8-P8,R-temp,R,0.7224,0.3694
chb16,15,P8-O2,R-temp,R,0.7396,0.6994
chb16,16,FZ-CZ,Mid,M,0.4082,0.2595
chb16,17,CZ-PZ,Mid,M,0.9325,0.4214
chb17,0,FP1-F7,L-temp,L,0.1378,0.0651
chb17,1,F7-T7,L-temp,L,0.3891,0.3079
chb17,2,T7-P7,L-temp,L,1.2411,0.1675
chb17,3,P7-O1,L-temp,L,0.4023,0.0516
chb17,4,FP1-F3,L-cent,L,0.4339,0.3139
chb17,5,F3-C3,L-cent,L,0.1513,0.0405
chb17,6,C3-P3,L-cent,L,0.3379,0.1532
chb17,7,P3-O1,L-cent,L,0.1285,0.0244
chb17,8,FP2-F4,R-cent,R,0.4416,0.2263
chb17,9,F4-C4,R-cent,R,0.3378,0.1747
chb17,10,C4-P4,R-cent,R,0.5844,0.426
chb17,11,P4-O2,R-cent,R,0.4509,0.269
chb17,12,FP2-F8,R-temp,R,0.2207,0.0551
chb17,13,F8-T8,R-temp,R,0.1164,0.1012
chb17,14,T8-P8,R-temp,R,0.3229,0.1519
chb17,15,P8-O2,R-temp,R,0.1921,0.0608
chb17,16,FZ-CZ,Mid,M,0.7482,0.3924
chb17,17,CZ-PZ,Mid,M,0.4599,0.1188
chb18,0,FP1-F7,L-temp,L,0.682,0.2825
chb18,1,F7-T7,L-temp,L,0.208,0.2115
chb18,2,T7-P7,L-temp,L,0.7105,0.2946
chb18,3,P7-O1,L-temp,L,1.3389,0.7833
chb18,4,FP1-F3,L-cent,L,1.4217,0.5484
chb18,5,F3-C3,L-cent,L,0.4754,0.2897
chb18,6,C3-P3,L-cent,L,0.8091,0.562
chb18,7,P3-O1,L-cent,L,0.4968,0.3422
chb18,8,FP2-F4,R-cent,R,1.466,0.5058
chb18,9,F4-C4,R-cent,R,0.8665,0.5099
chb18,10,C4-P4,R-cent,R,0.1473,0.0606
chb18,11,P4-O2,R-cent,R,0.8035,0.2347
chb18,12,FP2-F8,R-temp,R,1.0961,0.4568
chb18,13,F8-T8,R-temp,R,1.0261,0.3719
chb18,14,T8-P8,R-temp,R,1.1298,0.6415
chb18,15,P8-O2,R-temp,R,1.921,0.2803
chb18,16,FZ-CZ,Mid,M,0.3627,0.3491
chb18,17,CZ-PZ,Mid,M,0.6433,0.2568
