weight,mag_pct,subject,pen_mult,n_seizures,tp,fp,n_ref,n_hyp,sensitivity,precision,f1,fp_per_day,fp_rate_full,mean_lat_s,n_inter_h
old_locked,75.0,chb03,5.0,7,7,9,7,23,1.0,0.4375,0.6086956521739131,5.701715794104707,5.6840443261892935,-21.142857142857142,37.88
old_locked,75.0,chb03,10.0,7,7,6,7,18,1.0,0.5384615384615384,0.7,3.801143862736472,3.7893628841261955,4.571428571428571,37.88
old_locked,80.0,chb03,0.3,7,7,43,7,115,1.0,0.14,0.24561403508771928,27.24153101627805,27.15710066957107,-1.1428571428571428,37.88
old_locked,80.0,chb03,0.5,7,7,34,7,83,1.0,0.17073170731707318,0.2916666666666667,21.53981522217334,21.473056343381774,-4.0,37.88
old_locked,80.0,chb03,1.0,7,7,25,7,54,1.0,0.21875,0.358974358974359,15.838099428068633,15.789012017192482,-15.428571428571429,37.88
old_locked,80.0,chb03,2.0,7,7,16,7,32,1.0,0.30434782608695654,0.4666666666666667,10.136383633963924,10.10496769100319,-21.142857142857142,37.88
old_locked,80.0,chb03,5.0,7,7,8,7,20,1.0,0.4666666666666667,0.6363636363636364,5.068191816981962,5.052483845501595,-6.857142857142857,37.88
old_locked,80.0,chb03,10.0,7,6,6,7,16,0.8571428571428571,0.5,0.631578947368421,3.801143862736472,3.7893628841261955,8.666666666666666,37.88
old_locked,40.0,chb06,0.3,10,5,240,10,383,0.5,0.02040816326530612,0.0392156862745098,86.37840539865033,86.31368631368632,-8.8,66.68
old_locked,40.0,chb06,0.5,10,5,190,10,276,0.5,0.02564102564102564,0.04878048780487805,68.38290427393152,68.33166833166834,-8.8,66.68
old_locked,40.0,chb06,1.0,10,3,131,10,166,0.3,0.022388059701492536,0.041666666666666664,47.14821294676331,47.112887112887115,-14.666666666666666,66.68
old_locked,40.0,chb06,2.0,10,1,75,10,88,0.1,0.013157894736842105,0.023255813953488372,26.99325168707823,26.973026973026975,-12.0,66.68
old_locked,40.0,chb06,5.0,10,0,36,10,41,0.0,0.0,0.0,12.95676080979755,12.947052947052947,nan,66.68
old_locked,40.0,chb06,10.0,10,0,19,10,22,0.0,0.0,0.0,6.838290427393152,6.833166833166834,nan,66.68
old_locked,50.0,chb06,0.3,10,5,204,10,320,0.5,0.023923444976076555,0.045662100456621,73.42164458885279,73.36663336663337,-8.8,66.68
old_locked,50.0,chb06,0.5,10,4,164,10,230,0.4,0.023809523809523808,0.0449438202247191,59.025243689077726,58.981018981018984,-17.0,66.68
old_locked,50.0,chb06,1.0,10,3,110,10,139,0.3,0.02654867256637168,0.04878048780487805,39.5901024743814,39.56043956043956,-14.666666666666666,66.68
old_locked,50.0,chb06,2.0,10,1,61,10,74,0.1,0.016129032258064516,0.027777777777777776,21.954511372156958,21.93806193806194,-12.0,66.68
old_locked,50.0,chb06,5.0,10,0,29,10,34,0.0,0.0,0.0,10.437390652336916,10.42957042957043,nan,66.68
old_locked,50.0,chb06,10.0,10,0,16,10,19,0.0,0.0,0.0,5.758560359910022,5.754245754245755,nan,66.68
old_locked,55.0,chb06,0.3,10,4,186,10,288,0.4,0.021052631578947368,0.04,66.94326418395401,66.89310689310689,-17.0,66.68
old_locked,55.0,chb06,0.5,10,4,149,10,207,0.4,0.026143790849673203,0.049079754601226995,53.62659335166208,53.58641358641359,-17.0,66.68
old_locked,55.0,chb06,1.0,10,3,100,10,125,0.3,0.02912621359223301,0.05309734513274336,35.99100224943764,35.964035964035965,-14.666666666666666,66.68
old_locked,55.0,chb06,2.0,10,1,54,10,66,0.1,0.01818181818181818,0.03076923076923077,19.435141214696323,19.420579420579422,-12.0,66.68
old_locked,55.0,chb06,5.0,10,0,26,10,31,0.0,0.0,0.0,9.357660584853786,9.35064935064935,nan,66.68
old_locked,55.0,chb06,10.0,10,0,14,10,17,0.0,0.0,0.0,5.038740314921269,5.034965034965035,nan,66.68
old_locked,60.0,chb06,0.3,10,4,169,10,256,0.4,0.023121387283236993,0.04371584699453552,60.8247938015496,60.77922077922078,-17.0,66.68
old_locked,60.0,chb06,0.5,10,4,134,10,185,0.4,0.028985507246376812,0.05405405405405406,48.227943014246435,48.19180819180819,-17.0,66.68
old_locked,60.0,chb06,1.0,10,3,89,10,112,0.3,0.03260869565217391,0.058823529411764705,32.0319920019995,32.00799200799201,-14.666666666666666,66.68
old_locked,60.0,chb06,2.0,10,1,47,10,59,0.1,0.020833333333333332,0.034482758620689655,16.91577105723569,16.903096903096905,-12.0,66.68
old_locked,60.0,chb06,5.0,10,0,22,10,27,0.0,0.0,0.0,7.918020494876281,7.912087912087912,nan,66.68
old_locked,60.0,chb06,10.0,10,0,12,10,15,0.0,0.0,0.0,4.318920269932517,4.315684315684316,nan,66.68
old_locked,65.0,chb06,0.3,10,4,151,10,225,0.4,0.025806451612903226,0.048484848484848485,54.34641339665084,54.30569430569431,-17.0,66.68
old_locked,65.0,chb06,0.5,10,3,118,10,161,0.3,0.024793388429752067,0.04580152671755725,42.469382654336414,42.43756243756244,-14.666666666666666,66.68
old_locked,65.0,chb06,1.0,10,2,77,10,97,0.2,0.02531645569620253,0.0449438202247191,27.713071732066982,27.692307692307693,-20.0,66.68
old_locked,65.0,chb06,2.0,10,1,41,10,52,0.1,0.023809523809523808,0.038461538461538464,14.756310922269432,14.745254745254746,-12.0,66.68
old_locked,65.0,chb06,5.0,10,0,19,10,24,0.0,0.0,0.0,6.838290427393152,6.833166833166834,nan,66.68
old_locked,65.0,chb06,10.0,10,0,10,10,13,0.0,0.0,0.0,3.5991002249437636,3.5964035964035967,nan,66.68
old_locked,70.0,chb06,0.3,10,4,128,10,193,0.4,0.030303030303030304,0.056338028169014086,46.068482879280175,46.03396603396604,-17.0,66.68
old_locked,70.0,chb06,0.5,10,3,98,10,139,0.3,0.0297029702970297,0.05405405405405406,35.27118220444889,35.24475524475525,-14.666666666666666,66.68
old_locked,70.0,chb06,1.0,10,2,67,10,84,0.2,0.028985507246376812,0.05063291139240506,24.113971507123217,24.095904095904096,-20.0,66.68
old_locked,70.0,chb06,2.0,10,0,34,10,44,0.0,0.0,0.0,12.236940764808796,12.227772227772228,nan,66.68
old_locked,70.0,chb06,5.0,10,0,16,10,21,0.0,0.0,0.0,5.758560359910022,5.754245754245755,nan,66.68
old_locked,70.0,chb06,10.0,10,0,8,10,11,0.0,0.0,0.0,2.879280179955011,2.8771228771228774,nan,66.68
old_locked,75.0,chb06,0.3,10,3,108,10,161,0.3,0.02702702702702703,0.049586776859504134,38.870282429392645,38.841158841158844,-14.666666666666666,66.68
old_locked,75.0,chb06,0.5,10,2,82,10,115,0.2,0.023809523809523808,0.0425531914893617,29.512621844538863,29.490509490509492,-20.0,66.68
old_locked,75.0,chb06,1.0,10,1,54,10,69,0.1,0.01818181818181818,0.03076923076923077,19.435141214696323,19.420579420579422,-28.0,66.68
old_locked,75.0,chb06,2.0,10,0,27,10,37,0.0,0.0,0.0,9.717570607348161,9.710289710289711,nan,66.68
old_locked,75.0,chb06,5.0,10,0,13,10,17,0.0,0.0,0.0,4.678830292426893,4.675324675324675,nan,66.68
old_locked,75.0,chb06,10.0,10,0,7,10,10,0.0,0.0,0.0,2.5193701574606346,2.5174825174825175,nan,66.68
