seed,subject,mag_pct,pen_mult,tp,fp,n_seizures,n_inter_h,sensitivity,precision,fp_per_day,window_auroc
42,chb06,80.0,0.3,0,74,10,66.68,0.0,0.0,26.633341664583853,0.5011
42,chb06,40.0,0.5,3,166,10,66.68,0.3,0.0177514792899408,59.74506373406648,0.5011
42,chb06,50.0,0.5,0,147,10,66.68,0.0,0.0,52.90677330667333,0.5011
42,chb06,55.0,0.5,0,130,10,66.68,0.0,0.0,46.788302924268926,0.5011
42,chb06,60.0,0.5,0,119,10,66.68,0.0,0.0,42.82929267683079,0.5011
42,chb06,65.0,0.5,0,103,10,66.68,0.0,0.0,37.07073231692077,0.5011
42,chb06,70.0,0.5,0,88,10,66.68,0.0,0.0,31.672081979505123,0.5011
42,chb06,75.0,0.5,0,73,10,66.68,0.0,0.0,26.27343164208948,0.5011
42,chb06,80.0,0.5,0,60,10,66.68,0.0,0.0,21.594601349662582,0.5011
42,chb06,40.0,1.0,0,112,10,66.68,0.0,0.0,40.30992251937016,0.5011
42,chb06,50.0,1.0,0,92,10,66.68,0.0,0.0,33.11172206948263,0.5011
42,chb06,55.0,1.0,0,83,10,66.68,0.0,0.0,29.87253186703324,0.5011
42,chb06,60.0,1.0,0,75,10,66.68,0.0,0.0,26.99325168707823,0.5011
42,chb06,65.0,1.0,0,67,10,66.68,0.0,0.0,24.113971507123217,0.5011
42,chb06,70.0,1.0,0,58,10,66.68,0.0,0.0,20.87478130467383,0.5011
42,chb06,75.0,1.0,0,48,10,66.68,0.0,0.0,17.275681079730067,0.5011
42,chb06,80.0,1.0,0,37,10,66.68,0.0,0.0,13.316670832291926,0.5011
42,chb06,40.0,2.0,0,65,10,66.68,0.0,0.0,23.394151462134463,0.5011
42,chb06,50.0,2.0,0,54,10,66.68,0.0,0.0,19.435141214696323,0.5011
42,chb06,55.0,2.0,0,48,10,66.68,0.0,0.0,17.275681079730067,0.5011
42,chb06,60.0,2.0,0,42,10,66.68,0.0,0.0,15.116220944763809,0.5011
42,chb06,65.0,2.0,0,39,10,66.68,0.0,0.0,14.03649087728068,0.5011
42,chb06,70.0,2.0,0,33,10,66.68,0.0,0.0,11.87703074231442,0.5011
42,chb06,75.0,2.0,0,27,10,66.68,0.0,0.0,9.71757060734816,0.5011
42,chb06,80.0,2.0,0,21,10,66.68,0.0,0.0,7.558110472381903,0.5011
42,chb06,40.0,5.0,0,30,10,66.68,0.0,0.0,10.797300674831291,0.5011
42,chb06,50.0,5.0,0,25,10,66.68,0.0,0.0,8.99775056235941,0.5011
42,chb06,55.0,5.0,0,22,10,66.68,0.0,0.0,7.918020494876281,0.5011
42,chb06,60.0,5.0,0,19,10,66.68,0.0,0.0,6.838290427393152,0.5011
42,chb06,65.0,5.0,0,16,10,66.68,0.0,0.0,5.758560359910022,0.5011
42,chb06,70.0,5.0,0,14,10,66.68,0.0,0.0,5.038740314921269,0.5011
42,chb06,75.0,5.0,0,11,10,66.68,0.0,0.0,3.95901024743814,0.5011
42,chb06,80.0,5.0,0,8,10,66.68,0.0,0.0,2.879280179955011,0.5011
42,chb06,40.0,10.0,0,16,10,66.68,0.0,0.0,5.758560359910022,0.5011
42,chb06,50.0,10.0,0,14,10,66.68,0.0,0.0,5.038740314921269,0.5011
42,chb06,55.0,10.0,0,12,10,66.68,0.0,0.0,4.318920269932517,0.5011
42,chb06,60.0,10.0,0,11,10,66.68,0.0,0.0,3.95901024743814,0.5011
42,chb06,65.0,10.0,0,10,10,66.68,0.0,0.0,3.599100224943764,0.5011
42,chb06,70.0,10.0,0,8,10,66.68,0.0,0.0,2.879280179955011,0.5011
42,chb06,75.0,10.0,0,7,10,66.68,0.0,0.0,2.519370157460634,0.5011
42,chb06,80.0,10.0,0,6,10,66.68,0.0,0.0,2.1594601349662583,0.5011
42,chb13,40.0,0.3,11,114,12,32.84,0.9166666666666666,0.088,83.3130328867235,0.8223
42,chb13,50.0,0.3,11,94,12,32.84,0.9166666666666666,0.1047619047619047,68.6967113276492,0.8223
42,chb13,55.0,0.3,10,82,12,32.84,0.8333333333333334,0.108695652173913,59.92691839220463,0.8223
42,chb13,60.0,0.3,9,68,12,32.84,0.75,0.1168831168831168,49.69549330085262,0.8223
42,chb13,65.0,0.3,9,55,12,32.84,0.75,0.140625,40.19488428745432,0.8223
42,chb13,70.0,0.3,9,47,12,32.84,0.75,0.1607142857142857,34.3483556638246,0.8223
42,chb13,75.0,0.3,9,36,12,32.84,0.75,0.2,26.30937880633374,0.8223
42,chb13,80.0,0.3,9,30,12,32.84,0.75,0.2307692307692307,21.924482338611448,0.8223
42,chb13,40.0,0.5,11,100,12,32.84,0.9166666666666666,0.0990990990990991,73.0816077953715,0.8223
42,chb13,50.0,0.5,9,79,12,32.84,0.75,0.1022727272727272,57.73447015834349,0.8223
42,chb13,55.0,0.5,9,67,12,32.84,0.75,0.1184210526315789,48.9646772228989,0.8223
42,chb13,60.0,0.5,9,56,12,32.84,0.75,0.1384615384615384,40.925700365408034,0.8223
42,chb13,65.0,0.5,9,49,12,32.84,0.75,0.1551724137931034,35.80998781973203,0.8223
42,chb13,70.0,0.5,9,40,12,32.84,0.75,0.1836734693877551,29.232643118148594,0.8223
42,chb13,75.0,0.5,9,33,12,32.84,0.75,0.2142857142857142,24.11693057247259,0.8223
42,chb13,80.0,0.5,9,28,12,32.84,0.75,0.2432432432432432,20.462850182704017,0.8223
42,chb13,40.0,1.0,9,56,12,32.84,0.75,0.1384615384615384,40.925700365408034,0.8223
42,chb13,50.0,1.0,9,47,12,32.84,0.75,0.1607142857142857,34.3483556638246,0.8223
42,chb13,55.0,1.0,9,41,12,32.84,0.75,0.18,29.963459196102317,0.8223
42,chb13,60.0,1.0,9,37,12,32.84,0.75,0.1956521739130435,27.04019488428745,0.8223
42,chb13,65.0,1.0,9,33,12,32.84,0.75,0.2142857142857142,24.11693057247259,0.8223
42,chb13,70.0,1.0,9,31,12,32.84,0.75,0.225,22.655298416565163,0.8223
42,chb13,75.0,1.0,8,24,12,32.84,0.6666666666666666,0.25,17.53958587088916,0.8223
42,chb13,80.0,1.0,8,19,12,32.84,0.6666666666666666,0.2962962962962963,13.885505481120584,0.8223
42,chb13,40.0,2.0,9,40,12,32.84,0.75,0.1836734693877551,29.232643118148594,0.8223
42,chb13,50.0,2.0,9,32,12,32.84,0.75,0.2195121951219512,23.38611449451888,0.8223
42,chb13,55.0,2.0,9,33,12,32.84,0.75,0.2142857142857142,24.11693057247259,0.8223
42,chb13,60.0,2.0,8,30,12,32.84,0.6666666666666666,0.2105263157894736,21.924482338611448,0.8223
42,chb13,65.0,2.0,8,25,12,32.84,0.6666666666666666,0.2424242424242424,18.270401948842878,0.8223
42,chb13,70.0,2.0,8,21,12,32.84,0.6666666666666666,0.2758620689655172,15.347137637028013,0.8223
42,chb13,75.0,2.0,8,18,12,32.84,0.6666666666666666,0.3076923076923077,13.15468940316687,0.8223
42,chb13,80.0,2.0,8,15,12,32.84,0.6666666666666666,0.3478260869565217,10.962241169305724,0.8223
42,chb13,40.0,5.0,6,27,12,32.84,0.5,0.1818181818181818,19.7320341047503,0.8223
42,chb13,50.0,5.0,6,22,12,32.84,0.5,0.2142857142857142,16.077953714981728,0.8223
42,chb13,55.0,5.0,6,19,12,32.84,0.5,0.24,13.885505481120584,0.8223
42,chb13,60.0,5.0,6,17,12,32.84,0.5,0.2608695652173913,12.423873325213156,0.8223
42,chb13,65.0,5.0,6,15,12,32.84,0.5,0.2857142857142857,10.962241169305724,0.8223
42,chb13,70.0,5.0,6,14,12,32.84,0.5,0.3,10.231425091352008,0.8223
42,chb13,75.0,5.0,6,11,12,32.84,0.5,0.3529411764705882,8.038976857490864,0.8223
42,chb13,80.0,5.0,6,10,12,32.84,0.5,0.375,7.308160779537149,0.8223
42,chb13,40.0,10.0,2,12,12,32.84,0.1666666666666666,0.1428571428571428,8.76979293544458,0.8223
42,chb13,50.0,10.0,2,10,12,32.84,0.1666666666666666,0.1666666666666666,7.308160779537149,0.8223
42,chb13,55.0,10.0,2,9,12,32.84,0.1666666666666666,0.1818181818181818,6.577344701583435,0.8223
42,chb13,60.0,10.0,2,8,12,32.84,0.1666666666666666,0.2,5.84652862362972,0.8223
42,chb13,65.0,10.0,2,7,12,32.84,0.1666666666666666,0.2222222222222222,5.115712545676004,0.8223
42,chb13,70.0,10.0,2,6,12,32.84,0.1666666666666666,0.25,4.38489646772229,0.8223
42,chb13,75.0,10.0,2,5,12,32.84,0.1666666666666666,0.2857142857142857,3.6540803897685743,0.8223
42,chb13,80.0,10.0,2,4,12,32.84,0.1666666666666666,0.3333333333333333,2.92326431181486,0.8223
42,chb14,40.0,0.3,7,186,8,25.95,0.875,0.0362694300518134,172.05258875422896,0.6982
42,chb14,50.0,0.3,6,152,8,25.95,0.75,0.0379746835443038,140.6021155410903,0.6982
42,chb14,55.0,0.3,6,144,8,25.95,0.75,0.04,133.2020041968224,0.6982
42,chb14,60.0,0.3,6,126,8,25.95,0.75,0.0454545454545454,116.5517536722196,0.6982
42,chb14,65.0,0.3,5,111,8,25.95,0.625,0.043103448275862,102.67654490171728,0.6982
42,chb14,70.0,0.3,5,95,8,25.95,0.625,0.05,87.87632221318145,0.6982
42,chb14,75.0,0.3,5,77,8,25.95,0.625,0.0609756097560975,71.22607168857866,0.6982
42,chb14,80.0,0.3,3,69,8,25.95,0.375,0.0416666666666666,63.82596034431074,0.6982
42,chb14,40.0,0.5,6,157,8,25.95,0.75,0.0368098159509202,145.22718513125778,0.6982
42,chb14,50.0,0.5,6,142,8,25.95,0.75,0.0405405405405405,131.35197636075543,0.6982
42,chb14,55.0,0.5,6,129,8,25.95,0.75,0.0444444444444444,119.32679542632007,0.6982
42,chb14,60.0,0.5,5,112,8,25.95,0.625,0.0427350427350427,103.60155881975076,0.6982
42,chb14,65.0,0.5,5,99,8,25.95,0.625,0.048076923076923,91.5763778853154,0.6982
42,chb14,70.0,0.5,5,85,8,25.95,0.625,0.0555555555555555,78.62618303284657,0.6982
42,chb14,75.0,0.5,3,74,8,25.95,0.375,0.0389610389610389,68.45102993447819,0.6982
42,chb14,80.0,0.5,3,62,8,25.95,0.375,0.0461538461538461,57.35086291807632,0.6982
42,chb14,40.0,1.0,6,119,8,25.95,0.75,0.048,110.0766562459852,0.6982
42,chb14,50.0,1.0,5,98,8,25.95,0.625,0.0485436893203883,90.65136396728192,0.6982
42,chb14,55.0,1.0,5,90,8,25.95,0.625,0.0526315789473684,83.25125262301401,0.6982
42,chb14,60.0,1.0,5,80,8,25.95,0.625,0.0588235294117647,74.00111344267911,0.6982
42,chb14,65.0,1.0,3,75,8,25.95,0.375,0.0384615384615384,69.37604385251167,0.6982
42,chb14,70.0,1.0,3,66,8,25.95,0.375,0.0434782608695652,61.05091859021027,0.6982
42,chb14,75.0,1.0,3,54,8,25.95,0.375,0.0526315789473684,49.9507515738084,0.6982
42,chb14,80.0,1.0,3,43,8,25.95,0.375,0.0652173913043478,39.77559847544003,0.6982
42,chb14,40.0,2.0,3,70,8,25.95,0.375,0.0410958904109589,64.75097426234423,0.6982
42,chb14,50.0,2.0,3,58,8,25.95,0.375,0.0491803278688524,53.65080724594236,0.6982
42,chb14,55.0,2.0,3,52,8,25.95,0.375,0.0545454545454545,48.10072373774142,0.6982
42,chb14,60.0,2.0,3,47,8,25.95,0.375,0.06,43.475654147573984,0.6982
42,chb14,65.0,2.0,3,41,8,25.95,0.375,0.0681818181818181,37.92557063937305,0.6982
42,chb14,70.0,2.0,3,35,8,25.95,0.375,0.0789473684210526,32.375487131172115,0.6982
42,chb14,75.0,2.0,2,29,8,25.95,0.25,0.064516129032258,26.82540362297118,0.6982
42,chb14,80.0,2.0,2,24,8,25.95,0.25,0.0769230769230769,22.20033403280373,0.6982
42,chb14,40.0,5.0,0,24,8,25.95,0.0,0.0,22.20033403280373,0.6982
42,chb14,50.0,5.0,0,20,8,25.95,0.0,0.0,18.50027836066978,0.6982
42,chb14,55.0,5.0,0,17,8,25.95,0.0,0.0,15.725236606569313,0.6982
42,chb14,60.0,5.0,0,15,8,25.95,0.0,0.0,13.875208770502333,0.6982
42,chb14,65.0,5.0,0,13,8,25.95,0.0,0.0,12.025180934435356,0.6982
42,chb14,70.0,5.0,0,11,8,25.95,0.0,0.0,10.175153098368378,0.6982
42,chb14,75.0,5.0,0,9,8,25.95,0.0,0.0,8.3251252623014,0.6982
42,chb14,80.0,5.0,0,7,8,25.95,0.0,0.0,6.475097426234422,0.6982
42,chb14,40.0,10.0,0,9,8,25.95,0.0,0.0,8.3251252623014,0.6982
42,chb14,50.0,10.0,0,8,8,25.95,0.0,0.0,7.400111344267911,0.6982
42,chb14,55.0,10.0,0,7,8,25.95,0.0,0.0,6.475097426234422,0.6982
42,chb14,60.0,10.0,0,6,8,25.95,0.0,0.0,5.550083508200934,0.6982
42,chb14,65.0,10.0,0,5,8,25.95,0.0,0.0,4.625069590167445,0.6982
42,chb14,70.0,10.0,0,5,8,25.95,0.0,0.0,4.625069590167445,0.6982
42,chb14,75.0,10.0,0,4,8,25.95,0.0,0.0,3.700055672133956,0.6982
42,chb14,80.0,10.0,0,3,8,25.95,0.0,0.0,2.775041754100467,0.6982
42,chb15,40.0,0.3,19,157,20,39.44,0.95,0.1079545454545454,95.54560054095174,0.8785
42,chb15,50.0,0.3,19,134,20,39.44,0.95,0.1241830065359477,81.54847434705435,0.8785
42,chb15,55.0,0.3,19,127,20,39.44,0.95,0.1301369863013698,77.28847941847688,0.8785
42,chb15,60.0,0.3,19,115,20,39.44,0.95,0.1417910447761194,69.98563096948695,0.8785
42,chb15,65.0,0.3,18,100,20,39.44,0.9,0.1525423728813559,60.85707040824951,0.8785
42,chb15,70.0,0.3,18,82,20,39.44,0.9,0.18,49.90279773476461,0.8785
42,chb15,75.0,0.3,18,67,20,39.44,0.9,0.2117647058823529,40.774237173527176,0.8785
42,chb15,80.0,0.3,18,55,20,39.44,0.9,0.2465753424657534,33.471388724537235,0.8785
42,chb15,40.0,0.5,19,126,20,39.44,0.95,0.1310344827586207,76.67990871439439,0.8785
42,chb15,50.0,0.5,19,108,20,39.44,0.95,0.1496062992125984,65.72563604090948,0.8785
42,chb15,55.0,0.5,18,95,20,39.44,0.9,0.1592920353982301,57.81421688783704,0.8785
42,chb15,60.0,0.5,18,82,20,39.44,0.9,0.18,49.90279773476461,0.8785
42,chb15,65.0,0.5,18,72,20,39.44,0.9,0.2,43.81709069393965,0.8785
42,chb15,70.0,0.5,18,65,20,39.44,0.9,0.216867469879518,39.557095765362185,0.8785
42,chb15,75.0,0.5,18,55,20,39.44,0.9,0.2465753424657534,33.471388724537235,0.8785
42,chb15,80.0,0.5,18,42,20,39.44,0.9,0.3,25.5599695714648,0.8785
42,chb15,40.0,1.0,18,85,20,39.44,0.9,0.174757281553398,51.72850984701208,0.8785
42,chb15,50.0,1.0,18,68,20,39.44,0.9,0.2093023255813953,41.38280787760967,0.8785
42,chb15,55.0,1.0,18,62,20,39.44,0.9,0.225,37.7313836531147,0.8785
42,chb15,60.0,1.0,18,57,20,39.44,0.9,0.24,34.688530132702226,0.8785
42,chb15,65.0,1.0,18,50,20,39.44,0.9,0.2647058823529412,30.42853520412476,0.8785
42,chb15,70.0,1.0,18,42,20,39.44,0.9,0.3,25.5599695714648,0.8785
42,chb15,75.0,1.0,18,35,20,39.44,0.9,0.3396226415094339,21.29997464288733,0.8785
42,chb15,80.0,1.0,18,29,20,39.44,0.9,0.3829787234042553,17.64855041839236,0.8785
42,chb15,40.0,2.0,18,53,20,39.44,0.9,0.2535211267605634,32.25424731637224,0.8785
42,chb15,50.0,2.0,18,45,20,39.44,0.9,0.2857142857142857,27.38568168371228,0.8785
42,chb15,55.0,2.0,18,41,20,39.44,0.9,0.3050847457627119,24.951398867382306,0.8785
42,chb15,60.0,2.0,18,37,20,39.44,0.9,0.3272727272727272,22.51711605105232,0.8785
42,chb15,65.0,2.0,18,32,20,39.44,0.9,0.36,19.474262530639844,0.8785
42,chb15,70.0,2.0,18,27,20,39.44,0.9,0.4,16.43140901022737,0.8785
42,chb15,75.0,2.0,18,23,20,39.44,0.9,0.4390243902439024,13.997126193897389,0.8785
42,chb15,80.0,2.0,18,18,20,39.44,0.9,0.5,10.954272673484912,0.8785
42,chb15,40.0,5.0,18,26,20,39.44,0.9,0.4090909090909091,15.822838306144872,0.8785
42,chb15,50.0,5.0,18,22,20,39.44,0.9,0.45,13.388555489814893,0.8785
42,chb15,55.0,5.0,18,19,20,39.44,0.9,0.4864864864864865,11.562843377567408,0.8785
