P,TP,sens,FP,fp_day,dFP_pct,seizures_lost
28,57,0.75,426,36.75,7.6,0
29,57,0.75,425,36.66,7.8,0
30,57,0.75,422,36.4,8.5,0
31,57,0.75,421,36.32,8.7,0
32,57,0.75,419,36.14,9.1,0
33,57,0.75,418,36.06,9.3,0
34,54,0.7105,363,31.31,21.3,3
35,50,0.6579,340,29.33,26.2,7
36,50,0.6579,335,28.9,27.3,7
37,50,0.6579,332,28.64,28.0,7
38,50,0.6579,327,28.21,29.1,7
39,50,0.6579,325,28.04,29.5,7
40,50,0.6579,322,27.78,30.2,7
41,50,0.6579,318,27.43,31.0,7
42,50,0.6579,312,26.91,32.3,7
